text,created_at,clean_text
"@DaoKwonDo Numbers looking strong! If markets keep pumping, @CameronWest38’s gonna have a field day with those targets. Facts over feelings, right?",2025-06-10 19:44:35+00:00,"numbers looking strong! if markets keep pumping, ’s gonna have a field day with those targets. facts over feelings, right?"
"@HansMokeNiemann Congratulations Hans, I'm only a little sad you didn't go for the clean sweep in the final game!",2025-06-10 19:44:35+00:00,"congratulations hans, i'm only a little sad you didn't go for the clean sweep in the final game!"
"@TateNews_ We don’t need any pedophiles, LGBTFuck, Extremist, Terrorrist, mind fucked kids. 

Deport, kill or jail.",2025-06-10 19:44:35+00:00,"we don’t need any pedophiles, lgbtfuck, extremist, terrorrist, mind fucked kids. 

deport, kill or jail."
"@JustRaqxz @TheCardDealer I had this on it should
Lost cashed out 44th min paddy power fucked up https://t.co/HUmaWeV4Q2",2025-06-10 19:44:34+00:00,"i had this on it should
lost cashed out 44th min paddy power fucked up"
@solomonster Sad but true. Knew it would happen so I can't say I'm surprised. That's life and he wasn't gonna miss a rumble period,2025-06-10 19:44:34+00:00,sad but true. knew it would happen so i can't say i'm surprised. that's life and he wasn't gonna miss a rumble period
"@TuckerCNews California is the first place to look at everything is fucked up to begin with All bed things originated from there including Newscum , Nazi Arnold from Austria that was part Nazi Germany and his father was employed by the government may I say more",2025-06-10 19:44:34+00:00,"california is the first place to look at everything is fucked up to begin with all bed things originated from there including newscum , nazi arnold from austria that was part nazi germany and his father was employed by the government may i say more"
"@no1ikejoong :// thats sad to see, reach out to someone pls #et3aleg",2025-06-10 19:44:34+00:00,":// thats sad to see, reach out to someone pls #et3aleg"
"@sm0ltiddyg0thgf sad to hear that 

i wanted to go down that route of gambling it all",2025-06-10 19:44:34+00:00,"sad to hear that 

i wanted to go down that route of gambling it all"
"Blwyddyn 6 were very fortunate to have a Sign Language lesson this morning. We were able to learn so much in an hour including the signs for animals, colours and feelings. Ardderchog! https://t.co/6vjuUd3KEa",2025-06-10 19:44:34+00:00,"blwyddyn 6 were very fortunate to have a sign language lesson this morning. we were able to learn so much in an hour including the signs for animals, colours and feelings. ardderchog!"
@meekmilfs They’re political online but feening in real life it’s sad 💀,2025-06-10 19:44:33+00:00,they’re political online but feening in real life it’s sad 💀
To be honest they also fucked over the guys that were their first. https://t.co/Yim57qR3XP,2025-06-10 19:44:33+00:00,to be honest they also fucked over the guys that were their first.
@Guru_Merc @Fat_Electrician @MayorOfLA It's sad how incredibly retarded you are.,2025-06-10 19:44:33+00:00,it's sad how incredibly retarded you are.
"Anxiety should stop 😔 tomorrow is another hard day at work, just a few days more to survive 

I feel like not wanting to create, just lay down and degrade in bed",2025-06-10 19:44:33+00:00,"anxiety should stop 😔 tomorrow is another hard day at work, just a few days more to survive 

i feel like not wanting to create, just lay down and degrade in bed"
